sample_id,task_type,check,template_family,review_status
forg_000023,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000024,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000025,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000026,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000027,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000028,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000029,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000030,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000031,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000032,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000033,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000034,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000035,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000036,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000037,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000038,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000039,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000040,precise_forgetting,OK,forget_revoke_v1,candidate_only
tool_000001,tool_result,OK,tool_status_success_v1,candidate_only
tool_000002,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000003,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000004,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000005,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000006,tool_result,OK,tool_status_success_v1,candidate_only
tool_000007,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000008,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000009,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000010,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000011,tool_result,OK,tool_status_success_v1,candidate_only
tool_000012,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000013,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000014,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000015,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000016,tool_result,OK,tool_status_success_v1,candidate_only
tool_000017,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000018,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000019,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000020,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000021,tool_result,OK,tool_status_success_v1,candidate_only
tool_000022,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000023,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000024,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000025,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000026,tool_result,OK,tool_status_success_v1,candidate_only
tool_000027,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000028,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000029,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000030,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000031,tool_result,OK,tool_status_success_v1,candidate_only
tool_000032,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000033,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000034,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000035,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000036,tool_result,OK,tool_status_success_v1,candidate_only
tool_000037,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000038,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000039,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000040,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000041,tool_result,OK,tool_status_success_v1,candidate_only
tool_000042,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000043,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000044,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000045,tool_result,OK,tool_status_partial_success_v1,candidate_only
tool_000046,tool_result,OK,tool_status_success_v1,candidate_only
tool_000047,tool_result,OK,tool_status_failed_v1,candidate_only
tool_000048,tool_result,OK,tool_status_cancelled_v1,candidate_only
tool_000049,tool_result,OK,tool_status_timeout_v1,candidate_only
tool_000050,tool_result,OK,tool_status_partial_success_v1,candidate_only
e2e_000001,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000002,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000003,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000004,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000005,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000006,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000007,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000008,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000009,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000010,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000011,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000012,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000013,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000014,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
e2e_000015,end_to_end_session,OK,kylin_e2e_workflow_v1,candidate_only
